ps_category|0|0,ps_product_name|1|0,ps_product_description|1|0,ps_maximum_purchase_quantity|0|0,ps_maximum_purchase_quantity_start_date|0|0,ps_maximum_purchase_quantity_time_period|0|0,ps_maximum_purchase_quantity_end_date|0|0,ps_minimum_purchase_quantity|0|0,ps_sku_parent_short|0|0,ps_dangerous_goods|0|0,et_title_variation_integration_no|0|0,et_title_variation_1|0|0,et_title_option_for_variation_1|0|0,et_title_image_per_variation|0|3,et_title_variation_2|0|0,et_title_option_for_variation_2|0|0,ps_price|1|1,ps_stock|0|1,ps_sku_short|0|0,ps_new_size_chart|0|1,et_title_size_chart|0|3,ps_gtin_code|0|0,ps_item_cover_image|1|3,ps_item_image_1|0|3,ps_item_image_2|0|3,ps_item_image_3|0|3,ps_item_image_4|0|3,ps_item_image_5|0|3,ps_item_image_6|0|3,ps_item_image_7|0|3,ps_item_image_8|0|3,ps_weight|1|1,ps_length|0|1,ps_width|0|1,ps_height|0|1,channel_id.8001|0|0,channel_id.8003|0|0,channel_id.8005|0|0,channel_id.80021|0|0,ps_product_pre_order_dts|0|1,et_title_reason|0|0
basic,007c3be4a959861bbde1d1ea24b6e962,0,63521617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kategori,Nama Produk,Deskripsi Produk,Maks. Jumlah Pembelian,Maks. Jumlah Pembelian - Tanggal Mulai,Maks. Jumlah Pembelian - Jumlah Hari,Maks. Jumlah Pembelian - Tanggal Berakhir,Min. Jumlah Pembelian,SKU Induk,Produk Berbahaya,Kode Integrasi Variasi,Nama Variasi 1,Varian untuk Variasi 1,Foto Produk per Varian,Nama Variasi 2,Varian untuk Variasi 2,Harga,Stok,Kode Variasi,Template Panduan Ukuran,Foto Panduan Ukuran,GTIN,Foto Sampul,Foto Produk 1,Foto Produk 2,Foto Produk 3,Foto Produk 4,Foto Produk 5,Foto Produk 6,Foto Produk 7,Foto Produk 8,Berat,Panjang,Lebar,Tinggi,Same Day,Reguler (Cashless),Hemat Kargo,Indopaket (Ambil di Indomaret),Dikirim Dalam Pre-order,Alasan Gagal
Opsional,Wajib,Wajib,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Opsional,Opsional,Opsional,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib,Wajib Bersyarat,Opsional,Wajib Bersyarat,Wajib Bersyarat,Opsional,Wajib,Opsional,Opsional,Opsional,Opsional,Opsional,Opsional,Opsional,Opsional,Wajib,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Wajib Bersyarat,Opsional,
Mohon masukkan kode kategori yang sesuai untuk tiap produk. Kode kategori yang akurat dapat meningkatkan hasil pencarian produk.,"Nama produk harus termasuk merek dan model. Hindari penggunaan kata kunci yang tidak sesuai karena dapat menyebabkan produkmu diblokir oleh sistem. Untuk produk dengan banyak variasi, hanya isi nama produk pada variasi pertama dan kosongkan untuk variasi lainnya.","Mohon masukkan deskripsi produk yang relevan. Deskripsi produk penting untuk memberikan informasi yang lengkap kepada Pembeli. Untuk produk dengan banyak variasi, hanya isi deskripsi produk pada variasi pertama dan kosongkan untuk variasi lainnya.",Maks. jumlah pembelian untuk obat bebas (OTC) per pesanan harus diisi dan tidak boleh melebihi 3 hari penggunaan.,[Hanya untuk Pengaturan Per Periode] Mohon atur tanggal mulai. Tanggal mulai tercepat adalah besok.,"[Hanya untuk Pengaturan Per Periode] Batas Maks. jumlah pembelian akan berakhir (untuk tipe periode ""Tidak Berulang"") atau mulai kembali (untuk tipe periode ""Berulang"") setelah jumlah hari yang ditentukan.","[Hanya untuk Pengaturan Per Periode] Masukkan tanggal berakhir. Untuk tipe periode ""Tidak Berulang"", tanggal berakhir = tanggal mulai + jumlah hari - 1. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, tanggal berakhir = 2021-05-10. 

Untuk tipe periode ""Berulang"", tanggal berakhir harus kelipatan dari jumlah hari. Contoh: tanggal mulai = 2021-05-01, jumlah hari = 10 hari, jika kamu ingin pengaturan ini diulang 2x (3 periode), tanggal berakhir = 2021-05-30.","Min. jumlah pembelian merupakan isi dari tingkatan produk. Pembeli dapat memesan variasi yang berbeda untuk mencapai min. jumlah pembelian. Jika dikosongkan, min. jumlah pembelian akan otomatis bernilai 1. Pastikan stok lebih besar dari min. jumlah pembelian agar Pembeli dapat membuat pesanan.",SKU induk digunakan untuk mengidentifikasi produk induk. Disarankan untuk tidak menduplikasi SKU induk untuk produk lain dalam tokomu.,"Mohon isi keterangan Produk Berbahaya dengan tepat. Keterangan Produk Berbahaya yang tidak tepat dapat menambah biaya pengiriman atau gagal pengiriman. Produk Berbahaya mengandung baterai/magnet/cairan/bahan mudah terbakar. Jika tidak diisi, produk akan secara otomatis dikategorikan sebagai Produk Tidak Berbahaya.",Wajib untuk produk yang memiliki variasi. Kamu bisa menggunakan kode ini sebagai kode unik untuk produk induk dan seluruh variasinya.,Masukkan nama variasi pertama (jika ada).,Masukkan varian untuk variasi pertama.,Masukkan link foto produk per varian sesuai dengan varian pada variasi pertama.,Masukkan nama variasi kedua (jika ada).,Masukkan varian untuk variasi kedua.,Masukkan harga produk dalam rupiah dan dalam bilangan positif.,Mohon masukkan stok produk.,Kode variasi digunakan untuk mengidentifikasi setiap variasi produk. Disarankan untuk tidak menduplikasi kode ini untuk produk lain dalam tokomu.,Masukkan ID template ukuran. Kamu bisa mencarinya di Daftar Template Panduan Ukuran,"Kamu hanya perlu memilih salah satu dari template atau foto panduan ukuran. Jika kamu mengisi keduanya, hanya template panduan ukuran yang akan disimpan.","GTIN is an identifier for trade items, developed by the international organization GS1. They have 8 to 14 digits. The most common are UPC, EAN, JAN and ISBN.","Masukkan link gambar utama produk-mu. Gambar tidak boleh sama dengan gambar produk lain di toko-mu. Kolom gambar ini wajib diisi agar produkmu dapat ditampilkan, namun kamu juga dapat meng-upload gambar di lain waktu melalui fitur atribut.",Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan link gambar produk,Masukkan berat produkmu dengan bilangan positif. Catatan: Berat yang tidak akurat akan memungkinkan terjadinya kesalahan penghitungan ongkos kirim.,Masukkan dimensi produk. Dimensi produk akaan digunakan untuk menghitung estimasi ongkos kirim. Kamu dapat mengatur dimensi untuk tiap variasi.,Masukkan lebar produk. Nominal yang dapat diisi adalah 0 atau bilangan positif. Lebar yang tidak akurat akan memungkinkan terjadinya kesalahan penghitungan ongkos kirim. Kamu dapat mengatur lebar untuk tiap variasi.,Masukkan tinggi produk. Nominal yang dapat diisi adalah 0 atau bilangan positif. Tinggi yang tidak akurat akan memungkinkan terjadinya kesalahan penghitungan ongkos kirim. Kamu dapat mengatur tinggi untuk tiap variasi.,Aktifkan min. 1 jasa kirim untuk setiap produk.,Aktifkan min. 1 jasa kirim untuk setiap produk.,Aktifkan min. 1 jasa kirim untuk setiap produk.,Aktifkan min. 1 jasa kirim untuk setiap produk.,Pre-order days to ship (DTS) indicates the days required for a pre-order product to be shipped.You can set the DTS information for each variation option.,
"Pilih kode kategori dari Daftar Kategori di Seller Centre, atau sistem akan merekomendasikan kategori untuk produkmu.",Masukkan 5 s/d 255 karakter untuk nama produk.,Masukkan 20 s/d 3000 karakter untuk deskripsi produk.,Mohon masukkan antara 1 - 999.999.,Mohon masukkan tanggal dalam format YYYY-MM-DD.,Mohon masukkan antara 1 - 365.,Mohon masukkan tanggal dalam format YYYY-MM-DD.,Min. jumlah pembelian hanya bisa diisi dengan angka 1 hingga 999.999.,Masukkan 1-100 karakter untuk SKU induk.,Yes (ID)/No (ID),Masukkan 1-100 karakter untuk kode integrasi variasi,Masukkan 1 sampai 14 karakter untuk nama variasi.,Masukkan 1 sampai 20 karakter untuk nama pilihan variasi.,Masukkan link foto produk.,Masukkan 1 sampai 14 karakter untuk nama variasi.,Masukkan 1 sampai 20 karakter untuk nama pilihan variasi.,Mohon masukkan 99 sampai 150000000 untuk harga produk. Batas harga produk termahal dibagi harga harga produk termurah: 7,Masukkan 0 s/d 10000000 untuk stok produk.,Masukkan maks. 100 karakter untuk kode variasi.,Masukkan Kode Template Ukuran.,"Masukkan link di sini
Ukuran: Maks. 2MB, pastikan resolusi tidak boleh melebihi 1280x1280px
Format: PDF, JPG, PNG",Please input a number between 8 to 14 digits.,"""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""","""Ukuran file: maks. 2 MB untuk setiap foto. Format file: JPG, JPEG, PNG. Minimum dimensi yang diperbolehkan: 1 x 1 px""",Masukkan 0 s/d 100000000 untuk berat produk.,Masukkan 1 s/d 10000000 untuk panjang produk.,Masukkan 1 s/d 10000000 untuk lebar produk.,Masukkan 1 s/d 10000000 untuk tinggi produk.,Aktif/ Nonaktif,Aktif/ Nonaktif,Aktif/ Nonaktif,Aktif/ Nonaktif,"Silakan mengacu pada jangka Dikirim Dalam Pre-order pada tab ""Kategori"" dalam file ini jika kamu ingin mengatur produkmu sebagai Pre-order.",
